DOCSAM	DOC SAMSON	1996
DOCSAM2	DOC SAMSON VOL. 2	2006
DOCSAV	DOC SAVAGE	1972-1974
DOCSAV2	DOC SAVAGE VOL. 2 (MAGAZINE)	1975-1977
DOD	DAUGHTERS OF THE DRAGON	2006
DOMINO	DOMINO	1997
DOMINO2	DOMINO VOL. 2	2003
DON	DEAD OF NIGHT	1973-1975
DOOM	DOOM (HEROES REBORN)	2000
DOOM2	DOOM VOL. 2	2000
DOOM3	DOOM VOL. 3 (EMPEROR RETURNS)	2002
DOOMSDAY	HEROES REBORN: DOOMSDAY	2000
DOOMWAR	DOOMWAR	2010
DP7	DP7	1986-1989
DPOOL	DEADPOOL	1993
DPOOL2	DEADPOOL VOL. 2	1994
DPOOL3	DEADPOOL VOL. 3	1997-2002
DPOOL4	DEADPOOL VOL. 4	2008-2012
DPOOL5	DEADPOOL VOL. 5	2013-
DPOOL/DEATH	DEADPOOL/DEATH	1998
DPOOL/GLI	DEADPOOL/GLI SUMMER FUN SPECTACULAR	2007
DPOOL:GOD	DEADPOOL: GAME$ OF DEATH	2009
DPOOL:MERC	DEADPOOL: MERC WITH A MOUTH	2009-2010
DPOOL:SK	DEADPOOL: SUICIDE KINGS	2009
DPOOLC	DEADPOOL & CABLE	2011
DPOOLCORPS	DEADPOOL CORPS	2010-2011
DPOOLFAM	DEADPOOL FAMILY	2011
DPOOLTU	DEADPOOL TEAM-UP	1998
DR:CABAL	DARK REIGN: CABAL	2009
DR:EL	DARK REIGN: ELEKTRA	2009
DR:FF	DARK REIGN: FANTASTIC FOUR	2009
DR:GL	DARK REIGN: GOBLIN LEGACY	2009
DR:HAWK	DARK REIGN: HAWKEYE	2009-2010
DR:HOOD	DARK REIGN: HOOD	2009
DR:LL	DARK REIGN: LETHAL LEGION	2009
DR:MM	DARK REIGN: MADE MEN	2009
DR:MN	DARK REIGN: MR. NEGATIVE	2009
DR:NN	DARK REIGN: NEW NATION	2009
DR:SINSM	DARK REIGN: SINISTER SPIDER-MAN	2009
